Date,AEM.TO,AGU.TO,ARX.TO,BMO.TO,BNS.TO,ABX.TO,BCE.TO,BB.TO,BBD-B.TO,BAM-A.TO,CCO.TO,CM.TO,CNR.TO,CNQ.TO,COS.TO,CP.TO,CTC-A.TO,CCT.TO,CVE.TO,GIB-A.TO,CPG.TO,ELD.TO,ENB.TO,ECA.TO,ERF.TO,FM.TO,FTS.TO,WN.TO,GIL.TO,G.TO,HSE.TO,IMO.TO,K.TO,L.TO,MG.TO,MFC.TO,MRU.TO,NA.TO,PPL.TO,PWT.TO,POT.TO,POW.TO,RCI-B.TO,RY.TO,SAP.TO,SJR-B.TO,SLW.TO,SNC.TO,SLF.TO,SU.TO,TLM.TO,TCK-B.TO,T.TO,TRI.TO,THI.TO,TD.TO,TA.TO,TRP.TO,VRX.TO,YRI.TO
2013-03-01,40.45,94.5,25.12,59.43,55.71,28.83,43.96,15.09,3.89,35,20.49,74.66,49.89,31.63,18.99,130.81,71.13,53.83,29.96,27.61,34.61,9.63,45.07,19.06,13.69,19.01,31.9,73.25,40.04,32.94,27.58,40.87,8.04,41.45,58.29,14.35,62.38,35.06,29.94,10.07,37.29,25.77,48.88,57.24,25.13,22.76,31.1,41.25,26.36,29.38,11.96,27.05,33.12,31.2,53.66,39.7,13.41,45.79,76.26,15.11
2013-04-01,31.57,88.1,26.45,59.43,54.75,19.19,43.71,16.5,3.86,38.06,19.09,75.5,48.2,28.69,17.94,123.92,72.34,58.17,28.71,31.9,34.94,7.9,45.68,17.92,13.19,17.42,32.65,75.27,40.02,28.79,27.54,39.45,5.49,41.46,59.16,14.28,66.96,35.78,30.98,8.58,39.91,25.61,46.81,57.44,25.27,23.29,24.09,42.18,27.03,30.32,11.63,25.34,34.22,31.94,53.05,39.14,13.37,47.15,76.5,12.04
2013-05-01,32.95,91.44,27.05,57.72,55.64,21.48,43.15,14.45,4.53,35.78,21.91,73.42,51.41,30.01,18.51,136.04,81.21,50.86,29.56,31.74,34.29,8.31,43.14,19.07,15.1,18.38,31.12,80.86,42.47,29.76,27.98,39.97,6.8,48.2,67.83,15.88,68.26,35.85,30.48,9.78,41.27,27.47,44.27,58.15,24.69,21.31,24.18,39.83,29.22,30.55,11.75,26.19,34.09,32.96,53.86,39.8,13.63,44.91,95.39,11.8
2013-06-03,28.35,87.49,26.05,57.37,53.56,16.37,40.46,11.08,4.54,37,21.2,70.83,50.24,28.91,17.96,126.22,77.2,51.19,28.8,30.8,32.79,6.46,42.41,17.36,14.59,15.45,30.35,81.63,42.23,25.3,26.76,39.63,5.39,46.35,73.44,16.27,69.32,35.67,30.39,10.49,37.76,26.91,39.19,57.91,23.55,21.55,20.27,43.34,29.98,30.11,11.62,21.64,29.27,32.79,55.54,40.03,13.26,43.19,90.68,9.75
2013-07-02,28.56,83.62,24.6,60.75,55.26,16.77,39.93,9.02,4.81,37.35,20.37,73.96,50.37,31.04,18.39,124.83,82.76,54.1,29.21,35.5,36.02,8.04,43.71,17.58,15.85,16.34,30.44,84.88,45.39,28.12,28.27,43.5,5.34,47.77,77.06,17.49,72.45,37.55,30.5,11.48,28.3,28.15,39.03,61.22,23.26,23.62,23.23,41.65,32.01,31.53,11.27,23.17,29.75,33.44,58.07,41.42,13.02,44.77,95.3,10.43
2013-08-01,31.26,86.46,24.05,62.88,55.73,19.88,40.53,10.64,4.65,35.79,19.58,78.07,48.47,31.34,18.96,122.59,87.22,57.68,28.97,34.95,35.53,8.95,41.73,17.55,16.55,17.37,28.9,81.15,45.91,30.24,28.73,43.53,5.81,43.84,79.76,16.82,66.57,38.78,31.12,11.23,29.58,27.54,39.56,61.92,22.88,23.97,27.48,38.82,31.24,34.67,10.96,25.54,30.81,33.29,56.48,42.88,12.73,43.79,103.6,11.7
2013-09-03,26.86,83.8,25.15,65.39,56.8,18.96,41.85,8.1,4.67,37.87,18.24,78.78,51.43,31.69,18.72,126.12,89.32,47.32,29.74,36.15,36.28,6.93,41.56,17.57,16.28,19.05,29.79,79.36,47.42,26.11,28.58,44.77,5.19,44.59,83.69,16.6,63.6,40.85,32.65,10.93,30.59,28.02,42.55,62.97,24.03,23.91,25.19,41.55,32.01,35.97,11.52,26.66,32.87,34.74,58.58,44.37,12.58,43.61,107.4,10.48
2013-10-01,30.49,86.15,26.59,69.77,61.02,20.05,43.14,8.23,4.62,40.7,19.43,85.15,56.45,32.39,19.06,147.9,95.09,48.92,29.97,34.98,37.88,7.01,43.67,18.44,17.26,19.65,30.88,83.21,49.86,25.93,28.59,45.07,5.3,46.73,87,17.99,64.39,43.45,32.85,11.14,31.1,29.58,45.46,67.46,25.37,22.61,23.35,42.98,34.17,37.01,12.67,26.87,35.07,37.79,61.03,46.18,13.19,45.28,110.15,10.11
2013-11-01,28.76,92.55,27.52,70.72,62.77,17.47,44.59,6.71,4.66,40.53,21.15,87.45,58.89,33.85,18.96,160.65,97.97,48.1,29.93,39.41,37.55,6.36,42.52,20.05,18.65,17.6,29.95,77.87,50.93,23.13,29.22,44.88,4.99,42.26,85.16,20.08,61.35,44.4,32.54,8.56,31.95,31.19,45.52,67.86,23.93,23.66,21.99,46.37,36.09,35.77,12.18,24.63,36.17,38.49,60.56,46.73,13.57,45.15,114.46,9.32
2013-12-02,27.83,94.83,28.6,68.03,63.95,18.56,44.29,7.9,4.52,40.64,21.74,88.03,59.9,35.39,19.06,159.77,97.75,50.45,29.64,35.54,39.03,6.02,45.15,19,18.7,19.01,29.28,76.33,56.28,22.59,32.83,46.7,4.65,41.76,86.15,20.55,64.3,42.89,36.22,8.62,33.62,31.05,46.6,68.8,23.91,23.28,21.27,47.12,36.85,36.57,12.1,27.13,35.55,39.07,61.04,48.34,12.93,47.22,124.62,9.03
